match_id,team_a,team_b,match_date,venue,match_type,tournament
48,DC,KKR,29-04-2026,"Arun Jaitley Stadium, Delhi",League,IPL 2026
49,CSK,PBKS,30-04-2026,"MA Chidambaram Stadium, Chennai",League,IPL 2026
50,RR,MI,01-05-2026,"Sawai Mansingh Stadium, Jaipur",League,IPL 2026
51,GT,SRH,02-05-2026,"Narendra Modi Stadium, Ahmedabad",League,IPL 2026
52,RCB,CSK,03-05-2026,"M. Chinnaswamy Stadium, Bangalore",League,IPL 2026
53,KKR,RR,04-05-2026,"Eden Gardens, Kolkata",League,IPL 2026
54,PBKS,LSG,04-05-2026,"HPCA Stadium, Dharamshala",League,IPL 2026
55,SRH,DC,05-05-2026,"Rajiv Gandhi International Stadium, Hyderabad",League,IPL 2026
56,MI,GT,06-05-2026,"Wankhede Stadium, Mumbai",League,IPL 2026
57,KKR,CSK,07-05-2026,"Eden Gardens, Kolkata",League,IPL 2026
58,RCB,KKR,17-05-2026,"M. Chinnaswamy Stadium, Bangalore",League,IPL 2026
59,RR,PBKS,18-05-2026,"Sawai Mansingh Stadium, Jaipur",League,IPL 2026
60,DC,GT,18-05-2026,"Arun Jaitley Stadium, Delhi",League,IPL 2026
61,LSG,SRH,19-05-2026,"Ekana Cricket Stadium, Lucknow",League,IPL 2026
62,CSK,RR,20-05-2026,"Arun Jaitley Stadium, Delhi",League,IPL 2026
63,MI,DC,21-05-2026,"Wankhede Stadium, Mumbai",League,IPL 2026
64,GT,LSG,22-05-2026,"Narendra Modi Stadium, Ahmedabad",League,IPL 2026
65,RCB,SRH,23-05-2026,"Ekana Cricket Stadium, Lucknow",League,IPL 2026
66,PBKS,DC,24-05-2026,"Sawai Mansingh Stadium, Jaipur",League,IPL 2026
67,GT,CSK,25-05-2026,"Narendra Modi Stadium, Ahmedabad",League,IPL 2026
68,KKR,SRH,25-05-2026,"Arun Jaitley Stadium, Delhi",League,IPL 2026
69,PBKS,MI,26-05-2026,"Sawai Mansingh Stadium, Jaipur",League,IPL 2026
70,LSG,RCB,27-05-2026,"Ekana Cricket Stadium, Lucknow",League,IPL 2026
71,PBKS,RCB,29-05-2026,"New PCA Cricket Stadium, Mullanpur",Playoffs,IPL 2026
72,GT,MI,30-05-2026,"New PCA Cricket Stadium, Mullanpur",Playoffs,IPL 2026
73,PBKS,MI,01-06-2026,"Narendra Modi Stadium, Ahmedabad",Playoffs,IPL 2026
74,RCB,PBKS,03-06-2026,"Narendra Modi Stadium, Ahmedabad",Final,IPL 2026
